player_name,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,team_abbreviation,season,composite_score,role
D'Angelo Russell,25.0,195.58,89.811216,304,19.82,3.34,6.4799999999999995,-1.7399999999999998,0.014000000000000002,0.08940000000000001,0.27399999999999997,0.5586,0.3272,LAL,2022-23,9.3248,Playmaker
Ben Simmons,23.75,208.28,104.32616,236,13.625,7.525,7.175,3.55,0.05175,0.1725,0.19075,0.58175,0.31975,BKN,2022-23,9.30525,Playmaker
Clint Capela,27.0,208.28,108.86208,308,13.76,12.74,1.1,3.34,0.1356,0.2718,0.1658,0.6289999999999999,0.05439999999999998,ATL,2022-23,9.283999999999999,Rebounder
Evan Mobley,21.5,210.82,97.52228,148,15.6,8.65,2.65,4.1,0.068,0.187,0.19999999999999996,0.57,0.11949999999999994,CLE,2022-23,9.265,Rebounder
Dejounte Murray,24.5,193.04,81.64656,275,17.05,6.625,6.199999999999999,-0.27500000000000013,0.028999999999999998,0.17425000000000002,0.23625000000000002,0.5265,0.27624999999999994,ATL,2022-23,9.218250000000001,Playmaker
Kemba Walker,30.5,185.42,83.46092800000001,218,19.225,3.825,4.775,0.375,0.015749999999999976,0.10450000000000001,0.25849999999999995,0.55725,0.24299999999999997,NYK,2021-22,9.2155,Playmaker
Bojan Bogdanovic,32.0,203.2,97.975872,344,18.98,4.04,2.06,2.9,0.019200000000000002,0.1034,0.23579999999999995,0.606,0.1008,DET,2022-23,9.167,All-Around
Jusuf Nurkic,26.25,213.36,124.7378,217,13.85,9.9,3.075,4.4,0.09949999999999998,0.26625,0.22725,0.57475,0.1735,POR,2022-23,9.13425,Rebounder
John Collins,23.0,208.28,106.59412,290,17.6,8.32,1.54,-0.32,0.06939999999999996,0.1914,0.20759999999999995,0.6268,0.0764,ATL,2022-23,9.0844,Rebounder
Paolo Banchero,20.0,208.28,113.398,72,20.0,6.9,3.7,-4.2,0.035,0.174,0.272,0.529,0.171,ORL,2022-23,9.077,Scorer
Mike Conley,33.0,185.42,79.3786,307,15.459999999999999,3.16,5.76,5.7,0.020800000000000003,0.08139999999999999,0.21439999999999998,0.5700000000000001,0.2884,MIN,2022-23,8.987,Playmaker
Darius Garland,21.5,185.42,87.089664,250,18.25,2.575,6.6,-0.17499999999999982,0.013999999999999974,0.06225,0.245,0.552,0.29649999999999993,CLE,2022-23,8.93975,Playmaker
Desmond Bane,24.0,195.58,97.52228,202,16.3,4.166666666666667,2.9333333333333336,5.433333333333334,0.019666666666666666,0.11899999999999995,0.211,0.5993333333333334,0.14766666666666664,MEM,2022-23,8.923,All-Around
Andrew Wiggins,26.0,203.2,87.996848,308,18.560000000000002,4.86,2.62,0.9,0.0368,0.10219999999999999,0.23479999999999995,0.5442,0.1214,GSW,2022-23,8.831600000000002,All-Around
Scottie Barnes,20.5,200.66,102.0582,151,15.3,7.05,4.15,2.5,0.0655,0.138,0.1935,0.538,0.1725,TOR,2022-23,8.819,Rebounder
Michael Porter Jr.,23.333333333333332,208.28,98.883056,178,15.233333333333334,5.833333333333333,0.9666666666666668,6.466666666666666,0.053,0.18466666666666662,0.215,0.6336666666666666,0.057999999999999996,DEN,2022-23,8.801,Rebounder
Aaron Gordon,25.0,205.74,99.79024,333,14.819999999999999,6.659999999999999,3.22,4.14,0.059,0.1522,0.20439999999999997,0.564,0.14679999999999999,DEN,2022-23,8.735,Rebounder
Tyler Herro,21.5,195.58,88.45044,242,17.35,4.875,3.45,0.8499999999999999,0.01325,0.1405,0.2415,0.555,0.1775,MIA,2022-23,8.662500000000001,All-Around
O.G. Anunoby,25.0,200.66,105.233344,67,16.8,5.0,2.0,3.0,0.037,0.11,0.192,0.586,0.08,TOR,2022-23,8.648,All-Around
Lauri Markkanen,24.0,213.36,108.86208,280,17.48,6.9799999999999995,1.4,-0.52,0.0392,0.18219999999999997,0.22039999999999998,0.591,0.0692,UTA,2022-23,8.615,Rebounder
Gordon Hayward,31.0,203.2,102.0582,267,15.84,5.2,3.8599999999999994,2.12,0.0246,0.13379999999999997,0.20439999999999997,0.5773999999999999,0.1798,CHA,2022-23,8.6142,All-Around
Nikola Mirotic,28.0,208.28,113.398,46,15.2,7.4,1.2,3.7,0.045,0.198,0.206,0.584,0.061,MIL,2018-19,8.587,Rebounder
